strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR1289794	Klebsiella pneumoniae	strong	1458	266940	1607193	6030663	no	-	ST11	1	2	5	5	ybt 10; ICEKp4 (incomplete)	381-5LV	-	0	-	0	-	0	-	0	-	wzi24	KL24	K24	none	Very high	100.00%		unknown (O3/O3a)	unknown (O3/O3a)	-	None	98.24%	O3/O3a_03_wzm,O3/O3a_04_wzt,O3/O3a_05_wbdD,O3/O3a_06_wbdA,O3/O3a_07_wbdB,O3/O3a_08_wbdC	strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	-	TEM-1D.v1^	-	-	-	OXA-58	SHV-11	35Q	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	3	10	4	3	29	5	245*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289799	Klebsiella pneumoniae	strong	158	251072	723846	5509655	no	-	ST2502	1	1	7	9	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Very high	100.00%		O1/O2v1	O1ab	?-	Good	98.03%	O1/O2v1_05_wbbN	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	-	-	-	CatB4.v1?	-	-	tet(D)	-	dfrA14.v2*	OXA-1;SCO-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	-	ST2502	2	6	1	5	4	46	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289801	Klebsiella pneumoniae	strong	1524	20834	119556	6454255	no	-	ST770-1LV	1	2	7	10	-,-,-,-	0,0,0,0	-	0	-	0	-	0	-	0	-	wzi516	unknown (KL67)	unknown (K67)	?-+*	None	96.18%	KL67_18_manC,KL67_19_manB,KL67_23_rmlC,KL67_24_ugd	O1/O2v1	O1ab	none	Very high	98.52%		aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	-	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-194*	35Q	OmpK36-50%	-	-	-	-	ST770-1LV	2	1	1	2	10	4	139*	-,-,75,-	-,-,34*-0%,109*-0%	37,-,-,-	44,-,-,-	47,-,-,-	104,-,-,-	-,-,-,-	-,25,-,-	-,23,-,-	-,45,-,-	-,118,-,-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	irp1_227*-0%;ybtS_100*-58%;ybtS_93*-0%
ERR1289803	Klebsiella pneumoniae	strong	185	169269	350266	5352366	no	-	ST466	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi37	KL22	K22	?	Good	99.48%		O1/O2v1	unknown (O1/O2v1)	?-	Good	98.12%	O1/O2v1_04_glf,O1/O2v1_06_wbbO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-33	-	-	-	-	-	OXA-163?-0%	ST466	2	1	2	1	10	50	120	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289804	Klebsiella pneumoniae	strong	96	285386	468099	5561671	no	-	ST35	1	0	1	1	ybt 9; ICEKp3	180-1LV	-	0	-	0	-	0	-	0	-	wzi37	KL22	K22	?	Good	99.46%		O1/O2v1	O1ab	none	Very high	98.11%		-	-	-	-	-	-	-	-	-	tet(D)	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST35	2	1	2	1	10	1	19	5	11	6	5	1	16	375	9	5	5	133	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289805	Klebsiella pneumoniae	strong	138	477210	1161183	5486189	no	-	ST3645	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL126	unknown (KL126)	?-	Good	97.36%	KL126_16_rmlA,KL126_18_rmlC	OL13	O13	?-+*	Good	91.76%	OL13_02_rfbA,OL13_04_rfbC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST3645	4	1	2	6	2	2	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289806	Klebsiella pneumoniae	strong	151	349332	521373	5451430	no	-	ST542	0	0	2	2	-	0	-	0	-	0	-	0	-	0	-	wzi8	KL8	K8	none	Very high	99.85%		O1/O2v1	O1ab	none	Very high	98.05%		-	-	-	-	-	-	-	-	sul1	-	-	dfrA7	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST542	2	1	37	2	102	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289807	Klebsiella pneumoniae	strong	126	353446	1003095	5598393	no	-	ST42	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi33	KL64	K64	none	Very high	99.85%		O1/O2v1	O1ab	none	Very high	99.33%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289808	Klebsiella pneumoniae	strong	111	343531	713946	5695515	no	-	ST405	1	2	8	12	ybt 27; ICEKp22	312	-	0	-	0	-	0	-	0	-	wzi143	KL151	unknown (KL151)	none	Very high	99.23%		O4	O4	none	Very high	99.69%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-76	35Q	OmpK35-70%	-	-	-	fosA7*?-0%;tet(A).v1?-65%	ST405	2	1	62	3	10	4	110	6	62	60	4	1	145	148	2	39	69	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289809	Klebsiella pneumoniae	strong	122	314595	677734	5777908	no	-	ST405	1	2	3	3	ybt 27; ICEKp22	312	-	0	-	0	-	0	-	0	-	wzi143	KL151	unknown (KL151)	none	Very high	99.23%		O4	O4	none	Very high	99.69%		-	-	-	qnrB1.v2^	-	-	-	-	-	-	-	dfrA14.v2*	-	-	-	-	OXA-48	SHV-76	35Q	OmpK35-70%	-	-	-	fosA7*?-0%	ST405	2	1	62	3	10	4	110	6	62	60	4	1	145	148	2	39	69	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289810	Klebsiella pneumoniae	strong	97	259241	549085	5335091	no	-	ST449	1	0	4	5	ybt 10; ICEKp4	351-1LV	-	0	-	0	-	0	-	0	-	wzi37	KL22	K22	none	Very high	99.49%		O1/O2v1	O1ab	none	Very high	98.11%		-	-	-	qnrB4	-	-	-	-	sul1;sul1	-	-	dfrA1.v1	DHA-1	-	-	-	-	SHV-33	-	-	-	-	-	-	ST449	2	1	2	1	10	1	120	3	12	4	66	3	137	376	3	10	60	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289812	Klebsiella pneumoniae	strong	156	274321	551688	5443551	no	-	ST942	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi87	KL21	K21	?-	Good	99.37%	KL21_17_manC,KL21_18_manB	O3b	O3b	?-	Good	99.01%	O3b_01_manC,O3b_02_manB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	sul1*?-65%	ST942	2	1	2	1	16	4	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289813	Klebsiella pneumoniae	strong	114	353343	973441	5427476	no	-	ST278	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi123	KL136	unknown (KL136)	none	Very high	99.64%		O1/O2v2	O2afg	none	Very high	98.30%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-27	156D	-	-	-	-	-	ST278	4	1	1	1	12	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289814	Klebsiella pneumoniae	strong	427	275687	645795	5928981	no	-	ST20	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi421	unknown (KL136)	unknown (KL136)	?-+	None	95.64%	KL136_05_wzb,KL136_07_wzy,KL136_10_manB	O1/O2v2	O2afg	?-	Good	98.37%	O1/O2v2_06_wbbO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST20	2	3	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289815	Klebsiella pneumoniae	strong	466	348620	622414	5732870	no	-	ST353	1	0	4	5	ybt 10; ICEKp4	377	-	0	-	0	-	0	-	0	-	wzi346	KL110	unknown (KL110)	?-	Good	99.09%	KL110_18_manC	O3b	O3b	?-	Good	99.18%	O3b_01_manC	aac(6')-Ib4^;aadA2	-	-	-	-	-	-	-	sul1	tet(D)	-	dfrA17	-	-	-	-	-	SHV-1^	-	-	-	-	-	ant(2'')-Ia?-0%;dfrA14.v1?-0%;dfrB1?-40%	ST353	3	9	47	1	13	1	16	3	12	4	3	14	50	216	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289816	Klebsiella pneumoniae	strong	110	304151	540105	5404811	no	-	ST65	3	0	0	0	-	0	-	0	iuc 1	1	iro 1	10	rmp 1; KpVP-1 (truncated)	38	rmpA2_3-47%	wzi72	KL2	K2	none	Very high	98.39%		O1/O2v2	O1ab	none	Very high	98.99%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST65	2	1	2	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	13	1	1	2	4-0%	2	-
ERR1289818	Klebsiella pneumoniae	strong	158	221181	429260	5686959	no	-	ST15	1	1	7	9	ybt 10; ICEKp4	28-1LV	-	0	-	0	-	0	-	0	-	wzi24	KL24	K24	?-	Good	100.00%	KL24_13_wcuG	O1/O2v1	O1ab	none	Very high	98.52%		aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	-	CatB4.v1?	-	-	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-156*?	-	-	SHV-28^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	sul1?-64%	ST15	1	1	1	1	1	1	1	16	12	4	3	3	35	50*	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289820	Klebsiella pneumoniae	strong	93	226509	404121	5370037	no	-	ST65	3	0	0	0	-	0	-	0	iuc 1	1	iro 1	10	rmp 1; KpVP-1 (truncated)	38	rmpA2_5-54%	wzi72	KL2	K2	none	Very high	98.39%		O1/O2v2	O1ab	?*	Good	99.00%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST65	2	1	2	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	13	1	1	2	4-0%	2	-
ERR1289821	Klebsiella pneumoniae	strong	91	298945	647296	5515054	no	-	ST45	1	0	0	0	ybt 10; ICEKp4	78	-	0	-	0	-	0	-	0	-	wzi101	KL24	K24	?	Good	99.01%		O1/O2v1	O2a	none	Very high	98.76%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289822	Klebsiella pneumoniae	strong	126	371589	1490845	5583726	no	-	ST323	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi262	KL21	K21	none	Very high	99.97%		O3b	O3b	none	Very high	99.17%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	fosA7*-15%	-	ST323	2	1	1	1	9	1	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289824	Klebsiella pneumoniae	strong	758	69412	339982	6880312	no	total_size	ST13	1	0	7	15	ybt 10; ICEKp4 (incomplete) (truncated)	78-5LV	-	0	-	0	-	0	-	0	-	wzi40	KL3	K3	?-	Good	99.89%	KL3_03_wzi,KL3_16_gnd	O1/O2v2	unknown (O1/O2v2)	none	Very high	98.74%		aac(6')-Ib4^;aadA1.v1^;aadA2;aadA5;ant(2'')-Ia^	mcr-9.1?	-	qnrA1^	-	mphA	catA1*;catB2.v1	-	sul1	-	-	dfrA14.v2*;dfrA16.v2;dfrA17;dfrB1	-	-	-	-	-	SHV-1^	-	-	-	-	tet(A).v1*-3%	CTX-M-16?-64%;VIM-1?-0%	ST13	2	3	1	1	10	1	19	3	12*-77%	4	11	3	220*-0%	18*	104*-81%	-	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289825	Klebsiella pneumoniae	strong	1729	20203	127276	7011025	no	total_size	ST2571	1	2	9	18	ybt 10; ICEKp4	112-4LV	-	0	-	0	-	0	-	0	-	wzi101	unknown (KL24)	unknown (K24)	?-+	None	99.48%	KL24_02_cpsACP,KL24_03_wzi,KL24_16_gnd,KL24_18_manB	unknown (O1/O2v1)	unknown (O2a)	?-	None	98.99%	O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_04_glf,O1/O2v1_06_wbbO	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;ant(2'')-Ia^;aph3-Ia.v1^	-	-	qnrB1.v1	-	mphA	CatB4.v1?;catA1^;catB2.v1	-	sul1	-	-	dfrA12;dfrA14.v2*;dfrA16.v2;dfrA17	OXA-1	-	CTX-M-15	-	OXA-48	SHV-11^	35Q	-	-	GyrA-83F;GyrA-87A	mcr-9.1*?-90%	CTX-M-16?-55%;CTX-M-51?-0%;VIM-12?-78%;aadA24*?-0%;qnrA1*?-0%	ST2571	3	3	1	1	7	1	4	3	12	4	3	29	21*	122*	3	10	16	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289826	Klebsiella pneumoniae	strong	90	511309	841077	5701185	no	-	ST405	1	0	6	7	ybt 27; ICEKp22	312	-	0	-	0	-	0	-	0	-	wzi143	KL151	unknown (KL151)	none	Very high	99.22%		O4	O4	none	Very high	99.69%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	-	tet(A).v1	-	dfrA14.v2*	OXA-1	-	-	-	-	SHV-76	35Q	-	-	-	-	fosA7*?-0%	ST405	2	1	62	3	10	4	110	6	62	60	4	1	145	148	2	39	69	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289828	Klebsiella variicola subsp. variicola	strong	104	364358	1307254	5754033	no	-	ST1563	0	0	1	1	-	0	-	0	-	0	-	0	-	0	-	-	KL123	unknown (KL123)	*	Very high	95.56%		O5	O5	none	Very high	99.53%		-	-	-	-	-	-	-	-	-	tet(D)	-	-	-	-	-	-	-	LEN-17;SHV-1^	-	-	-	-	-	-	ST1563	16	24	21	27	194	33	259	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289829	unknown		3	5089	5089	7304	no	N50	NA	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL106)	unknown (KL106)	?-	None	95.63%	KL106_01_galF,KL106_02_cpsACP,KL106_03_wzi,KL106_04_wza,KL106_05_wzb,KL106_06_wzc,KL106_07_wzy,KL106_08,KL106_09,KL106_10_wecB,KL106_11_wzx,KL106_12,KL106_13_wzx,KL106_14,KL106_15_rfbp,KL106_16_gnd,KL106_17,KL106_18_ugd	unknown (None)	unknown ()	none	None	0.00%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289830	Klebsiella pneumoniae	strong	92	449307	1030499	5153026	no	-	ST3646	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi37	KL22	K22	-+	Good	99.44%	KL22_17	O1/O2v1	O2a	-	Good	98.58%	O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-26	-	-	-	-	-	-	ST3646	2	3	6	1	9	7	496	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289831	Klebsiella variicola subsp. variicola	weak	6798	5152	116418	11961633	no	total_size,N50	0	1	3	11	21	ybt 10; ICEKp4	112-1LV	-	0	-	0	-	0	-	0	-	-	unknown (KL64)	unknown (K64)	?+	None	95.91%		O5	O5	none	Very high	99.52%		aac(3)-IIa.v1^;aadA2;ant(2'')-Ia^;aph3-Ia.v1^	mcr-9.1?	-	qnrA1^;qnrB1.v1	-	mphA	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA12;dfrA14.v2*;dfrA16.v2;dfrA17	OXA-1	-	CTX-M-15;CTX-M-9	-	OXA-48;VIM-1	LEN-17;SHV-11^	35Q	OmpK36-9%	-	-	aac(6')-Ib-cr.v2?-0%;dfrB1*?-0%;tet(A).v1*-3%	aadA?-44%	0	3	24	21	1	16*	-	259	3	10	4	3	29	5	122	3	10	9	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289832	Klebsiella pneumoniae	strong	132	214691	895010	5474020	no	-	ST392	0	1	8	11	-	0	-	0	-	0	-	0	-	0	-	wzi187	KL27	K27	none	Very high	99.28%		O4	O4	none	Very high	99.70%		aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	-	-	GyrA-83I;ParC-80I	-	sul1?-58%	ST392	3	4	6	1	7	4	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289834	Klebsiella pneumoniae	strong	140	237691	523658	5617855	no	-	ST258	0	2	8	9	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.98%		O1/O2v2	O2afg	none	Very high	98.38%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-3	SHV-11	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289835	Klebsiella pneumoniae	strong	160	230196	849792	5722898	no	-	ST147	0	3	8	13	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?	Good	100.00%		O1/O2v1	O2a	none	Very high	98.62%		aadA1.v1^;aadA2;ant(2'')-Ia^	mcr-9.1?	-	qnrA1^	-	-	catA1*;catB2.v1	-	sul1	-	-	dfrA14.v2*;dfrA16.v2;dfrB1	-	-	CTX-M-9	-	VIM-1	SHV-11^	35Q	-	-	GyrA-83I;ParC-80I	aac(6')-Ib-cr4*?-0%;tet(A).v1*-3%	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289836	Klebsiella pneumoniae	strong	543	132829	915222	6503199	no	total_size	ST147	0	3	8	13	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?	Good	100.00%		O1/O2v1	O2a	none	Very high	98.62%		aadA1.v1^;aadA2;ant(2'')-Ia^	mcr-9.1?	-	qnrA1^	-	-	catA1*;catB2.v1	-	sul1	-	-	dfrA14.v2*;dfrA16.v2;dfrB1	-	-	CTX-M-9	-	VIM-1	SHV-11^	35Q	-	-	GyrA-83I;ParC-80I	aac(6')-Ib-cr4*?-0%;tet(A).v1*-3%	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289837	Klebsiella pneumoniae	strong	1778	18850	183101	6719458	no	total_size	ST273-2LV	0	3	8	13	-	0	-	0	-	0	-	0	-	0	-	wzi14	KL14	K14	?-+	Good	99.05%	KL14_01_galF,KL14_02_cpsACP,KL14_18_gnd	O1/O2v1	O2a	none	Very high	98.62%		aadA1.v1^;aadA2;ant(2'')-Ia^	mcr-9.1?	-	qnrA1^	-	-	catA1*;catB2.v1	-	sul1	-	-	dfrA14.v2*;dfrA16.v2;dfrB1	-	-	CTX-M-9	-	VIM-1	SHV-11^	35Q	-	-	GyrA-83I;ParC-80I	aac(6')-Ib10*-6%;tet(A).v1*-3%	-	ST273-2LV	3	30	195*	1	7	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289838	Klebsiella pneumoniae	strong	584	217560	801863	6356948	no	-	ST17	1	0	5	8	ybt 15; ICEKp11	231	-	0	-	0	-	0	-	0	-	wzi141	KL25	K25	-	High	99.16%	KL25_09_wfeD	O1/O2v1	O2a	none	Very high	98.62%		aac(6')-Ib3^	-	-	qnrB2.v1^	-	-	-	-	sul1;sul1	tet(A).v1*	-	dfrA14.v2*;dfrA25;dfrB1	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	CTX-M-16?-0%;aadA3*?-64%;ant(2'')-Ia?-0%	ST17	2	1	1	1	4	4	4	6	15	22	4	1	37	34	14	1	33	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289839	Klebsiella pneumoniae	strong	142	265698	432196	5510164	no	-	ST33	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi112	KL13	K13	?-	Good	98.78%	KL13_18_manB	O3b	O3b	?-	Good	99.19%	O3b_02_manB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108	35Q	-	-	-	-	-	ST33	2	3	5	1	12	4	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289841	Klebsiella pneumoniae	strong	143	249724	448832	5688982	no	-	ST37	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	none	Very high	99.79%		O4	O4	none	Very high	99.72%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289842	Klebsiella pneumoniae	strong	106	337310	871274	5631408	no	-	ST3647	0	0	1	2	-	0	-	0	-	0	-	0	-	0	-	wzi56	KL30	K30	*	Very high	96.41%		O1/O2v1	O1ab	none	Very high	98.16%		strA.v1;strB.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-144^	146V;35Q	-	-	-	-	-	ST3647	4	1	1	1	7	1	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1289843	Klebsiella pneumoniae	strong	159	420951	1054901	5489730	no	-	ST14	0	0	2	3	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1ab	none	Very high	99.97%		strA.v1;strB.v1	-	-	-	-	-	-	-	-	tet(D)	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	sul1?-0%	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
